Net Income to Stockholder's Equity,Debt ratio %,Current Liability to Assets,Borrowing dependency,Retained Earnings to Total Assets,Total Asset Turnover,Operating Gross Margin,Net Income to Total Assets,Cash Flow to Total Assets,Interest Coverage Ratio (Interest expense to EBIT),Bankrupt?
0.82789021403512,0.207576261450555,0.147308450425486,0.390284354359258,0.903224771166726,0.0869565217391304,0.601457213277793,0.716845343217827,0.637555395323871,0.564050112276341,1
0.839969268005573,0.171176346101521,0.0569628274180797,0.376760019951553,0.931065217577487,0.0644677661169415,0.610235085544617,0.795297136043035,0.64109998470196,0.570174946412453,1
0.836774308550174,0.207515796474892,0.0981620645437837,0.379092920106557,0.90990336247412,0.0149925037481259,0.601450006486113,0.774669696989803,0.642764550242219,0.563706076496047,1
0.834697106753341,0.151464764035432,0.0987146304496934,0.379742687599394,0.906902158837211,0.0899550224887556,0.583541129160121,0.739554525158061,0.579039312335715,0.564663420271241,1
0.839972745788203,0.106509054630105,0.110194845896651,0.375025442703033,0.91385019745186,0.175412293853073,0.598783493564335,0.79501587263578,0.622374074998875,0.575616645216918,1
0.829938957445841,0.180427487377936,0.13900210638427,0.38144818747302,0.903041267113845,0.095952023988006,0.590171377506162,0.710420495100948,0.637469771661206,0.56453833936354,1
0.829979763773696,0.216101823019016,0.115920411679634,0.384998982291879,0.911441407767521,0.100449775112444,0.619949840729904,0.736619097683939,0.630419077246026,0.564200119780965,0
0.841459439726482,0.108202073948665,0.0870418011288855,0.374219104729994,0.935449309245632,0.218890554722639,0.601738278153332,0.815350392476567,0.641553075473546,0.566088941755739,0
0.840486633095349,0.058590561417299,0.0580597284096259,0.370253398138601,0.935200209287994,0.154422788605697,0.603612043990256,0.803647289792132,0.649869163687808,0.565591901310376,0
0.840688177069564,0.121292741179672,0.0945633028255581,0.374508760118367,0.938289896761562,0.347826086956522,0.599208694273483,0.804194656500343,0.643428364119162,0.566667622359207,0
0.841337129150271,0.103576503310457,0.0320868027606662,0.374179962109944,0.942828956208544,0.0764617691154423,0.61402585796855,0.814110614307489,0.642949957803352,0.565891530490222,0
0.840649731622796,0.0943858270097046,0.0479948129460321,0.373113046123427,0.93295521516369,0.0629685157421289,0.623711785987114,0.804886952966321,0.644569791996467,0.566982649156004,0
0.840702415877267,0.144662454273362,0.0956718995297444,0.377306898271686,0.930139634781563,0.124437781109445,0.608130702373917,0.803260160615522,0.629827150011909,0.567146326659175,0
0.839910496767797,0.106569519605768,0.0691661659638453,0.373151070382904,0.930763202677411,0.145427286356822,0.600577984692775,0.794157852517078,0.656022847109679,0.577445287454369,0
0.841623679912454,0.0896393264201711,0.027638023218934,0.373692356900173,0.94025165752662,0.101949025487256,0.604685855950648,0.819715357306136,0.622834521642138,0.565614320447007,0
0.841399049949549,0.0990718626235753,0.0533853563563156,0.373544733304554,0.933540910463702,0.148425787106447,0.621773159025065,0.815418713855725,0.642851149150759,0.565618081410697,0
0.840888957443775,0.0612812528342957,0.0387616550386571,0.372267565530338,0.942018218547371,0.0194902548725637,0.60652358782917,0.810421134587852,0.642257054123185,0.565999165334269,0
0.841983321753659,0.0787253983130272,0.0446373780123085,0.372724975004641,0.948858906532939,0.125937031484258,0.618450828060364,0.826642041201762,0.639850773089263,0.565659317841955,0
0.840954675675957,0.141336880611906,0.0874131414741735,0.378709322430063,0.935009281984505,0.229385307346327,0.598343879271826,0.806263914593922,0.643642036468341,0.567398597856035,0
0.840455976086351,0.0774858663119388,0.0547715959620629,0.371230845279288,0.933563970913442,0.118440779610195,0.636258810302829,0.802551849429409,0.652471661893523,0.56572207807259,0
0.840638613018106,0.0963509387187471,0.0125482805799749,0.36963718146295,0.939765139730377,0.0539730134932534,0.622176739359172,0.80463901213129,0.626864078802825,0.565170865120315,0
0.841311469523341,0.100734649454304,0.0685261041035546,0.371209596428404,0.937920804869362,0.173913043478261,0.607446057164272,0.814011882705804,0.682822774061204,0.565589111140646,0
0.841234473750761,0.146506636031079,0.0776394903553029,0.377012769441021,0.936223801831732,0.125937031484258,0.618933683102956,0.808976427196184,0.644473457867046,0.567289099516091,0
0.840325896066444,0.19303443480364,0.148790999132943,0.38727596441824,0.93856123349435,0.0824587706146927,0.609507199584889,0.798103629260323,0.649228567662327,0.568730145641783,0
0.84104674505462,0.19451582670738,0.147142954808218,0.388057698458675,0.933883562062243,0.184407796101949,0.602956225947333,0.803444645412305,0.643445729450651,0.568042939905936,0
0.837925614007031,0.14674849593373,0.0446516334281012,0.377159274676067,0.923742746015952,0.0419790104947526,0.611762925380879,0.772908884661082,0.644398383784298,0.562377109788118,0
0.841187894768005,0.092057925446685,0.0660732030729706,0.37216691307878,0.942045500965593,0.109445277361319,0.626544055117543,0.812973644132776,0.640119880879551,0.565722915029787,0
0.841854181631694,0.0360975904707198,0.0383733508227971,0.369875392264971,0.943096297038018,0.148425787106447,0.609737816918664,0.830176405307051,0.637185002999683,0.565433398847167,0
